Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
contextual,FLT4-VEGFC complex,Homo Sapiens,Mouse,This complex mediates lymphangiogenesis and maintenance of the lymphatic endothelium. When VEGFC (Vascular Endothelial Growth Factor C) binds to FLT4 (Vascular Endothelial Growth Factor Receptor 3);  it triggers receptor dimerization and autophosphorylation;  activating downstream signaling pathways that promote lymphatic endothelial cell proliferation;  migration;  and survival. This signaling is essential for lymphatic vessel development;  lymphatic homeostasis;  and lymphatic vessel remodeling.,Vascular endothelial growth factor receptor 3; Vascular endothelial growth factor C,FLT4; VEGFC,0.9175,A0A0A7DZ60; P49767
zero-shot,Integrin α3β1 (ITGA3-ITGB1),Homo Sapiens,Mouse (Mus musculus),The ITGA3-ITGB1 complex functions as a receptor for laminin;  specifically laminin-5 (laminin-332);  collagen;  and fibronectin in the extracellular matrix. It mediates cell-matrix adhesion;  participates in cell-surface mediated signaling;  and regulates epithelial cell migration and tissue organization. In humans;  it plays critical roles in kidney development;  skin integrity;  and lung alveolar formation. The complex is particularly important for basement membrane organization;  keratinocyte migration during wound healing;  and maintaining epithelial cell polarity.,Integrin alpha-3; Integrin beta-1,ITGA3 (integrin subunit alpha 3); ITGB1 (integrin subunit beta 1),0.94,Q59F03; Q5T3E6
few-shot,ITGA3-ITGB1 complex (α3β1 integrin),Homo Sapiens,Mouse,The ITGA3-ITGB1 complex functions as a receptor for laminin;  collagen;  and fibronectin. It plays a crucial role in cell-matrix adhesion;  cell migration;  and tissue organization. In epithelial cells;  α3β1 integrin mediates adhesion to the basement membrane and regulates epithelial cell polarity;  differentiation;  and wound healing. The complex also participates in signaling pathways that control cell survival;  proliferation;  and cytoskeletal organization.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,0.9175,Q59F03; Q5T3E6
contextual,ITGA3-ITGB1 complex,Homo Sapiens,Mouse,The ITGA3-ITGB1 complex functions as a receptor for fibronectin;  laminin;  collagen;  epiligrin;  thrombospondin and CSPG4. It mediates cell-cell and cell-matrix adhesion in epithelial tissues;  playing crucial roles in kidney and skin development;  wound healing;  and maintaining epithelial cell integrity. This integrin heterodimer primarily binds to laminin-5 (laminin-332) in basement membranes and is essential for proper organization of extracellular matrix.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,0.9475,Q59F03; Q5T3E6
zero-shot,Golgi-associated retrograde protein (GARP) complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The GARP complex functions as a tethering factor for retrograde vesicle trafficking from endosomes to the trans-Golgi network (TGN). It captures and facilitates the fusion of endosome-derived transport vesicles with the TGN membranes;  playing a crucial role in the recycling of proteins such as TGN46;  certain SNAREs;  and mannose-6-phosphate receptors from endosomes back to the TGN.,Vps51; Vps52; Vps53; Vps54,VPS51 (YKR020W); VPS52 (YDR484W); VPS53 (YJL029C); VPS54 (YDR027C),0.91,C7GNN9; A6ZZ73; C7GSQ3; A6ZXZ0
few-shot,Golgi-associated retrograde protein (GARP) complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The GARP complex is a tethering complex that mediates retrograde transport of proteins from endosomes to the trans-Golgi network (TGN). It plays a critical role in maintaining proper sorting and recycling of transmembrane proteins;  particularly those involved in lysosomal enzyme trafficking. The complex captures and tethers vesicles that originate from endosomes to facilitate their fusion with the TGN membrane through interactions with SNARE proteins.,Vps51; Vps52; Vps53; Vps54,VPS51 (also known as VPS67); VPS52 (also known as SAC2); VPS53; VPS54 (also known as LUV1),0.94,C7GNN9; A6ZZ73; C7GSQ3; A6ZXZ0
contextual,Golgi-associated Retrograde Protein (GARP) complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The GARP complex is a tethering complex that mediates retrograde transport of proteins from endosomes to the trans-Golgi network (TGN). It facilitates the fusion of endosome-derived transport vesicles with the TGN membrane;  playing a crucial role in the recycling of proteins such as sorting receptors needed for lysosomal enzyme trafficking and certain transmembrane proteins.,Vps51; Vps52; Vps53; Vps54,VPS51 (formerly known as VPS67/YKR020W); VPS52 (YDR484W); VPS53 (YJL029C); VPS54 (YDR027C),0.94,C7GNN9; A6ZZ73; C7GSQ3; A6ZXZ0
zero-shot,Transmembrane channel-like (TMC) 2 complex,Mus Musculus,Human (Homo sapiens),TMC2 forms a mechanosensitive ion channel in mammalian inner ear hair cells that can function as an alternative to TMC1 in auditory and vestibular mechanotransduction. It contributes to the pore-forming subunit of the mechanotransduction channel complex and is involved in converting mechanical stimuli into electrical signals. TMC2 plays a particularly important role in early postnatal hair cell development and function;  with its expression declining after the first postnatal week as TMC1 becomes the predominant channel in mature hair cells.,Transmembrane channel-like protein 2; Transmembrane inner ear protein; Lipoma HMGIC fusion partner-like 5 protein; Calcium and integrin-binding family member 2,Tmc2; Tmie; Lhfpl5 (also known as Tmhs); Cib2,0.825,"Q8R4P4; 	
Q8K467; Q4KL25; Q544Z8"
few-shot,Transmembrane Channel-like (TMC) 2 Complex,Mus Musculus,Human;  C. elegans;  Drosophila melanogaster,TMC2 functions as a component of the mechanotransduction channel in inner ear hair cells;  converting mechanical stimuli into electrical signals during the hearing process. While TMC1 is essential for hearing in mature hair cells;  TMC2 appears to play a more prominent role in the early development of hair cells and contributes to the pore-forming subunit of the mechanotransduction channel alongside TMC1. TMC2 is particularly important during early postnatal development in mammalian hair cells.,Transmembrane channel-like protein 2,Tmc2,0.8225,Q8R4P4
contextual,Transmembrane channel-like (TMC) 2 complex,Mus Musculus,Human;  C. elegans;  Drosophila melanogaster,The TMC2 complex functions as a mechanosensitive ion channel that mediates mechanotransduction in inner ear hair cells. It forms part of the hair cell transduction channel complex and is involved in converting mechanical stimuli from sound and head movements into electrical signals. In mice;  TMC2 primarily contributes to mechanotransduction in the early postnatal period;  with its expression declining as TMC1 becomes the predominant TMC protein in mature hair cells.,Transmembrane channel-like protein 2; Protocadherin-15; Cadherin-23; LHFPL5; CIB2,Tmc2; Pcdh15; Cdh23; Lhfpl5; Cib2,0.8475,Q8R4P4; A0A0A6YWL3; Q5DUA3; B2RWL4; Q9Z309
zero-shot,Eukaryotic Initiation Factor 3 (eIF3) complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster; Note: S. cerevisiae has a simplified eIF3 complex with only 5-6 subunits;  not 13.,The eIF3 complex is a critical component of the translation initiation machinery in humans. It facilitates the assembly of the 43S pre-initiation complex by promoting binding of the ternary complex (eIF2-GTP-Met-tRNAi) to the 40S ribosomal subunit. eIF3 also assists in mRNA recruitment to the 43S complex;  scanning of the 5' UTR;  and AUG codon recognition. Additionally;  it interacts with other initiation factors (eIF1;  eIF1A;  eIF2;  eIF4G;  and eIF5) to coordinate the process of translation initiation and prevent premature association of the 60S ribosomal subunit.,eIF3a;  eIF3b;  eIF3c;  eIF3d;  eIF3e;  eIF3f;  eIF3g;  eIF3h;  eIF3i;  eIF3j;  eIF3k;  eIF3l;  eIF3m,EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M,0.955,Q3B770; Q96G38; Q3B7B9; B4E1K8; A0A7I2V4G3; O00303; O75821; Q5BKY2; A0A7I2V5V8; O75822; B4DVD7; Q7Z5X3; Q7L2H7
few-shot,Eukaryotic Initiation Factor 3 (eIF3) complex,Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans (note: S. cerevisiae has a simplified 5-6 subunit eIF3 complex),The eIF3 complex is the largest translation initiation factor that plays critical roles in multiple steps of protein synthesis. It facilitates the formation of the 43S pre-initiation complex by promoting the binding of the ternary complex (eIF2-GTP-Met-tRNAi) to the 40S ribosomal subunit. eIF3 also assists in mRNA recruitment to the 43S complex;  scanning of the 5'UTR;  and AUG codon recognition. Additionally;  it interacts with other initiation factors (eIF1;  eIF1A;  eIF2;  eIF4G;  eIF5) to coordinate the assembly of the translation machinery.,eIF3a; eIF3b; eIF3c; eIF3d; eIF3e; eIF3f; eIF3g; eIF3h; eIF3i; eIF3j; eIF3k; eIF3l; eIF3m,EIF3A; EIF3B; EIF3C; EIF3D; EIF3E; EIF3F; EIF3G; EIF3H; EIF3I; EIF3J; EIF3K; EIF3L; EIF3M,0.9475,Q3B770; Q96G38; Q3B7B9; B4E1K8; A0A7I2V4G3; O00303; O75821; Q5BKY2; A0A7I2V5V8; O75822; B4DVD7; Q7Z5X3; Q7L2H7
contextual,Eukaryotic Initiation Factor 3 (eIF3) Complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae (note: S. cerevisiae has fewer subunits;  typically 5-6),The eIF3 complex plays a crucial role in translation initiation by binding to the 40S ribosomal subunit and promoting the formation of the 43S pre-initiation complex. It facilitates the binding of the ternary complex (eIF2-GTP-Met-tRNAi) to the 40S subunit;  stimulates mRNA binding;  and assists in AUG start codon recognition. Additionally;  eIF3 interacts with other initiation factors to coordinate various steps in translation initiation and can also participate in translation reinitiation and nonsense-mediated mRNA decay (NMD).,eIF3a; eIF3b; eIF3c; eIF3d; eIF3e; eIF3f; eIF3g; eIF3h; eIF3i; eIF3j; eIF3k; eIF3l; eIF3m,EIF3A; EIF3B; EIF3C; EIF3D; EIF3E; EIF3F; EIF3G; EIF3H; EIF3I; EIF3J; EIF3K; EIF3L; EIF3M,0.9475,Q3B770; Q96G38; Q3B7B9; B4E1K8; A0A7I2V4G3; O00303; O75821; Q5BKY2; A0A7I2V5V8; O75822; B4DVD7; Q7Z5X3; Q7L2H7
zero-shot,Tip60 complex (also known as NuA4 in yeast),Homo Sapiens,Mouse (Mus musculus);  Drosophila melanogaster;  Saccharomyces cerevisiae (as NuA4);  Caenorhabditis elegans,The Tip60 complex is a multi-subunit complex that possesses histone acetyltransferase (HAT) activity;  primarily targeting histones H4 and H2A. It plays crucial roles in transcriptional regulation;  DNA damage repair;  cell cycle progression;  and apoptosis. The complex acetylates histones to facilitate chromatin relaxation;  promoting transcription of specific genes. Additionally;  it is involved in the DNA damage response pathway;  where it acetylates ATM kinase and histone H2AX to facilitate DNA repair.,KAT5; TRRAP; EP400; RUVBL1; RUVBL2; DMAP1; BRD8; MRGBP; MORF4L1; MORF4L2; MEAF6; VPS72; ING3; YEATS4: YEATS domain protein; ACTL6A; EPC1; EPC2,KAT5; TRRAP; EP400; RUVBL1; RUVBL2; DMAP1; BRD8; MRGBP; MORF4L1; MORF4L2; MEAF6; VPS72; ING3; YEATS4; ACTL6A; EPC1; EPC2,0.8825,"Q92993; Q8N563; Q6ZTU2; Q9Y265; M0QYD8; Q5TG40; B2R5V7; Q9NV56; Q0VAE4; Q5JXX6; B1AK63; Q15906; B7ZKQ7; 	
O95619; H7C5S0; B8XCX8; E7ETK1"
few-shot,Tip60 Chromatin-Remodeling Complex (also known as NuA4 complex in yeast),Homo Sapiens,Drosophila melanogaster;  Saccharomyces cerevisiae (where it's called NuA4);  Mouse,This multiprotein complex functions as a histone acetyltransferase (HAT) that specifically acetylates histones H2A and H4. It plays essential roles in transcriptional regulation;  DNA damage repair;  cell cycle progression;  and apoptosis. The complex is involved in acetylating nucleosomal histones;  which alters chromatin structure to facilitate transcriptional activation and DNA repair.,KAT5; TRRAP; EP400; RUVBL1; RUVBL2; DMAP1; BRD8; MRGBP; EPC1; EPC2; ING3; MEAF6; MORF4L1; MORF4L2; ACTL6A; VPS72,KAT5; TRRAP; EP400; RUVBL1; RUVBL2; DMAP1; BRD8; MRGBP; EPC1; EPC2; ING3; MEAF6; MORF4L1; MORF4L2; ACTL6A; VPS72,0.9125,Q92993; Q8N563; Q6ZTU2; Q9Y265; M0QYD8; Q5TG40; B2R5V7; Q9NV56; B8XCX8; E7ETK1; B7ZKQ7; B1AK63; Q0VAE4; Q5JXX6; H7C5S0; Q15906
contextual,Tip60 chromatin-remodeling complex (also known as NuA4 HAT complex),Drosophila Melanogaster,Human;  Mouse;  Saccharomyces cerevisiae,The Tip60 complex is a multi-subunit histone acetyltransferase (HAT) complex that acetylates histones H2A;  H4 and H2AX/H2AZ variants. It plays critical roles in transcriptional regulation;  DNA damage repair;  cell cycle progression;  and apoptosis. The complex specifically modifies chromatin structure by acetylating lysine residues on histone tails;  which generally promotes a more open chromatin configuration and facilitates transcriptional activation. In DNA damage response;  it acetylates histone H2AX at DNA double-strand breaks;  which is essential for repair pathway choice.,Tip60; Domino; E; dMrg15; dMrgBP; Brd8; dIng3; dYL-1; dEaf6; dGas41; dRuvbl1; dRuvbl2; dTra1,Tip60; dom; E(Pc); MRG15; MrgBP; Brd8; ING3; YL-1; Eaf6; Gas41; pont (for dRuvbl1); reptin (for dRuvbl2); Nipped-A (for dTra1),0.8975,A9YI74; Q9NDJ2; A4V0R4; A0A0B4KHJ7; Q7K003; Q2XY62; Q9VWS0; X2JA36; Not Found; Q9VM63; Not Found; M9PFN1; Q8I8U7
zero-shot,COP9 Signalosome (CSN),Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans;  Saccharomyces cerevisiae (though its structure and function in yeast differ from the canonical form found in higher eukaryotes),The COP9 Signalosome functions primarily as a regulator of cullin-RING E3 ubiquitin ligases (CRLs) through deneddylation activity;  removing the ubiquitin-like protein NEDD8 from cullins. In humans;  CSN controls protein degradation via the ubiquitin-proteasome pathway;  regulates cell cycle progression;  DNA damage response;  and signal transduction pathways. The complex possesses intrinsic deubiquitinating activity and regulates protein kinases;  influencing transcription factor stability and gene expression.,CSN1; CSN2; CSN3; CSN4; CSN5; CSN6; CSN7A; CSN7B; CSN8; CSNAP,GPS1 (CSN1); COPS2 (CSN2); COPS3 (CSN3); COPS4 (CSN4); COPS5 (CSN5); COPS6 (CSN6); COPS7A (CSN7A); COPS7B (CSN7B); COPS8 (CSN8); COPS9 (CSNAP),0.95,P47710; P61201; Q9UNS2; Q9BT78; Q92905; Q7L5N1; Q9UBW8; Q9H9Q2; Q99627; Q8WXC6
few-shot,COP9 Signalosome (CSN),Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans;  Saccharomyces cerevisiae,The COP9 signalosome is a highly conserved protein complex that regulates the ubiquitin-proteasome system by controlling the activity of cullin-RING E3 ubiquitin ligases (CRLs). Its primary biochemical function is the deneddylation of cullins;  removing the ubiquitin-like protein NEDD8 from cullin scaffolds. This regulation of CRLs controls protein degradation pathways critical for cell cycle progression;  DNA damage response;  and development. The CSN also possesses associated deubiquitinating activity and kinase activity that contribute to its regulatory functions.,CSN1/GPS1; CSN2/COPS2; CSN3/COPS3; CSN4/COPS4; CSN5/COPS5/JAB1; CSN6/COPS6; CSN7A/COPS7A; CSN7B/COPS7B; CSN8/COPS8,GPS1 (G Protein Pathway Suppressor 1); COPS2 (COP9 Signalosome Subunit 2); COPS3 (COP9 Signalosome Subunit 3); COPS4 (COP9 Signalosome Subunit 4); COPS5 (COP9 Signalosome Subunit 5); COPS6 (COP9 Signalosome Subunit 6); COPS7A (COP9 Signalosome Subunit 7A); COPS7B (COP9 Signalosome Subunit 7B); COPS8 (COP9 Signalosome Subunit 8),0.9475,P47710; P61201; Q9UNS2; Q9BT78; Q92905; Q7L5N1; Q9UBW8; Q9H9Q2; Q99627
contextual,COP9 Signalosome (CSN),Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans;  Saccharomyces cerevisiae,The COP9 signalosome regulates protein degradation via the ubiquitin-proteasome system by controlling cullin-RING E3 ubiquitin ligase (CRL) activity through deneddylation of cullins. It removes the ubiquitin-like protein NEDD8 from cullins;  thereby regulating CRL assembly and activity. The CSN complex also participates in phosphorylation of various proteins including p53;  c-Jun;  IκBα;  and controls signaling pathways related to cell cycle;  DNA damage response;  and developmental processes.,CSN1; CSN2; CSN3; CSN4; CSN5; CSN6; CSN7A; CSN7B; CSN8,GPS1 (for CSN1); COPS2 (for CSN2); COPS3 (for CSN3); COPS4 (for CSN4); COPS5 (for CSN5); COPS6 (for CSN6); COPS7A (for CSN7A); COPS7B (for CSN7B); COPS8 (for CSN8),0.94,P47710; P61201; Q9UNS2; Q9BT78; Q92905; Q7L5N1; Q9UBW8; Q9H9Q2; Q99627
zero-shot,S Proteasome,Homo Sapiens,Mus musculus;  Caenorhabditis elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The 20S proteasome is the core proteolytic component of the 26S proteasome complex in eukaryotes. In humans;  it functions as a barrel-shaped structure responsible for the degradation of ubiquitinated proteins through the ubiquitin-proteasome pathway. It has three distinct proteolytic activities: chymotrypsin-like;  trypsin-like;  and caspase-like activities. The complex plays a crucial role in cellular proteostasis;  regulating protein turnover;  removing misfolded or damaged proteins;  and controlling the levels of regulatory proteins involved in cell cycle;  transcription;  and apoptosis., PSMA1;  PSMA2;  PSMA3;  PSMA4;  PSMA5;  PSMA6;  PSMA7; PSMB1;  PSMB2;  PSMB3;  PSMB4;  PSMB5;  PSMB6;  PSMB7; PSMB8;  PSMB9;  PSMB10;PSMB11,Alpha subunits: PSMA1;  PSMA2;  PSMA3;  PSMA4;  PSMA5;  PSMA6;  PSMA7; Beta subunits: PSMB1;  PSMB2;  PSMB3;  PSMB4;  PSMB5;  PSMB6;  PSMB7; Immunoproteasome subunits: PSMB8;  PSMB9;  PSMB10; Thymoproteasome subunit: PSMB11,0.9475,P25786; C9JCK5; G3V3W4; P25789; P28066; Q9BZ93; O14818; P20618; B7Z478; A0A087WUL2; P28070; P28074; I3L3X7; Q99436; X5D2R7; A2ACR1; J3QQN1; A5LHX3
few-shot,20S Proteasome,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The 20S proteasome is the core proteolytic component of the ubiquitin-proteasome system in eukaryotes. It functions as a multicatalytic protease complex that degrades unfolded;  misfolded;  damaged;  and short-lived regulatory proteins in an ATP-independent manner. It contains three distinct proteolytic activities: chymotrypsin-like;  trypsin-like;  and caspase-like (peptidylglutamyl-peptide hydrolase) activities;  allowing for the cleavage of peptide bonds after hydrophobic;  basic;  and acidic amino acids;  respectively., Pre6;  Pre5;  Pup2;  Pre9;  Pre8;  Pre10;  Scl1; Pre3;  Pup1;  Pup3;  Pre1;  Pre2;  Pre7;  Pre4,Alpha subunits: PRE6 (α4);  PRE5 (α6);  PUP2 (α5);  PRE9 (α3);  PRE8 (α2);  PRE10 (α7);  SCL1 (α1); Beta subunits: PRE3 (β1);  PUP1 (β2);  PUP3 (β3);  PRE1 (β4);  PRE2 (β5);  PRE7 (β6);  PRE4 (β7),0.9475,P40303; P40302; P32379; C7GUG0; C7GV75; A6ZPJ2; P21243; P38624; P25043; B3LRL3; A6ZQV9; P30656; A6ZKQ5; P30657
contextual,20S Proteasome,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The 20S proteasome is the core proteolytic component of the 26S proteasome complex;  responsible for the degradation of ubiquitinated proteins in the ubiquitin-proteasome pathway. It has three distinct proteolytic activities: chymotrypsin-like;  trypsin-like;  and caspase-like (post-glutamyl peptide hydrolase) activities. The 20S proteasome functions independently of ATP and can also degrade oxidatively damaged proteins in an ubiquitin-independent manner.,Pre6;  Pre5;  Pup2;  Pre9;  Pre8;  Scl1;  Pre10; Pre3;  Pup1;  Pre2;  Pre1;  Pre7;  Pre4;  Pup3,Alpha subunit genes: PRE6;  PRE5;  PUP2;  PRE9;  PRE8;  SCL1;  PRE10; Beta subunit genes: PRE3;  PUP1;  PRE2;  PRE1;  PRE7;  PRE4;  PUP3,0.965,C7GK06; C7GPU9; C7GNH7; C7GUG0; C7GV75; C7GK62; C7GNQ6; P38624; P25043; P30656; P22141; N1P9Q3; P30657; C7GRS8
zero-shot,Hyperpolarization-activated cyclic nucleotide-gated (HCN) channel complex,Homo Sapiens,Mouse (Mus musculus),The HCN channel complex mediates hyperpolarization-activated cation currents (If or Ih) in cardiac pacemaker cells and neurons. It regulates cardiac rhythmicity;  dendritic integration;  synaptic transmission;  and neuronal excitability. The complex is activated by membrane hyperpolarization and modulated by direct binding of cyclic nucleotides (cAMP and cGMP);  which facilitates channel opening by shifting the voltage dependence to more positive potentials.,HCN1; HCN2; HCN3; HCN4; These proteins form homo- or heterotetrameric channel complexes with varying subunit compositions;  leading to channels with different properties.,HCN1 (Hyperpolarization-activated cyclic nucleotide-gated potassium channel 1); HCN2 (Hyperpolarization-activated cyclic nucleotide-gated potassium channel 2); HCN3 (Hyperpolarization-activated cyclic nucleotide-gated potassium channel 3); HCN4 (Hyperpolarization-activated cyclic nucleotide-gated potassium channel 4),0.22,Q86WJ6; Q9UL51; Q2T9L6; Q9Y3Q4
few-shot,Hyperpolarization-activated cyclic nucleotide-gated channel complex,Homo Sapiens,Mouse,"This complex forms tetrameric ion channels that conduct both potassium and sodium ions. They are activated by hyperpolarization rather than depolarization and modulated by cyclic nucleotides (cAMP). The complex plays critical roles in cardiac pacemaking;  neuronal excitability;  dendritic integration;  and synaptic transmission. It generates the ""funny current"" (If) in cardiac cells and the hyperpolarization-activated current (Ih) in neurons.",Hyperpolarization-activated cyclic nucleotide-gated potassium channel 1;  Hyperpolarization-activated cyclic nucleotide-gated potassium channel 2;  Hyperpolarization-activated cyclic nucleotide-gated potassium channel 3;  Hyperpolarization-activated cyclic nucleotide-gated potassium channel 4,HCN1;  HCN2;  HCN3;  HCN4,0.9175,"A0A669KB45; Q09ND3; 	
Q9Y3Q4; 	
Q9Y3Q4"
contextual,HCN Channel Complex,Homo Sapiens,Mouse,The HCN (Hyperpolarization-activated Cyclic Nucleotide-gated) channel complex forms pacemaker channels that generate rhythmic activity in cardiac and neuronal cells. These channels conduct an inward;  mixed Na+/K+ current (Ih) that activates upon hyperpolarization rather than depolarization. The complex plays key roles in controlling heart rate;  neuronal excitability;  dendritic integration;  synaptic transmission;  and neuronal development. HCN channels are also modulated by direct binding of cyclic nucleotides (cAMP and cGMP);  making them important integrators of autonomic nervous system signals.,Hyperpolarization-activated cyclic nucleotide-gated channel 1; Hyperpolarization-activated cyclic nucleotide-gated channel 2; Hyperpolarization-activated cyclic nucleotide-gated channel 3; Hyperpolarization-activated cyclic nucleotide-gated channel 4,HCN1; HCN2; HCN3; HCN4,0.94,O60741; Q9UL51; Q9P1Z3; Q9Y3Q4
zero-shot,"""""",Saccharomyces cerevisiae,"""""","""""","""""",GRIN1 and P2RY4 exist as individual genes but do not form a known complex,0.42,Q07163
few-shot,"""""",Saccharomyces cerevisiae,"""""","""""","""""",, but they appear to function in separate cellular pathways rather than as a complex together.,Q07163
contextual,"""""",Saccharomyces cerevisiae,"""""","""""","""""",, but their direct association as a complex is not well-supported by current research.,Q07163
zero-shot,LY96-TLR4 complex (also known as MD-2/TLR4 complex),Homo Sapiens,Mouse (Mus musculus),The LY96-TLR4 complex serves as a crucial pattern recognition receptor in innate immunity;  primarily responsible for detecting lipopolysaccharide (LPS) from Gram-negative bacteria. Upon LPS binding;  the complex initiates signal transduction cascades that activate NF-κB and lead to the production of pro-inflammatory cytokines and type I interferons. This complex is essential for mounting immune responses against Gram-negative bacterial infections but can also contribute to septic shock when excessively activated.,LY96; TLR4; CD14 ,LY96 (gene encoding MD-2); TLR4 (gene encoding TLR4); CD14 (gene encoding CD14),0.955,D0VAW8; Q7L0X0; D6RD81
few-shot,LY96-TLR4 Complex (MD-2/TLR4 Complex),Homo Sapiens,Mouse,The LY96-TLR4 complex forms the primary receptor for lipopolysaccharide (LPS);  a major component of the outer membrane of Gram-negative bacteria. This complex is essential for the innate immune system's recognition of bacterial pathogens and initiates signaling cascades leading to the production of inflammatory cytokines and type I interferons. Upon LPS binding;  the complex recruits adaptor proteins (MyD88;  TIRAP;  TRIF;  TRAM) to activate downstream pathways;  including NF-κB and IRF3;  triggering inflammatory responses crucial for host defense against bacterial infections.,Lymphocyte antigen 96; Toll-like receptor 4,LY96 (encoding MD-2); TLR4 (encoding TLR4),0.955,Q9Y6Y9; D0EWT9
contextual,LY96-TLR4 complex,Homo Sapiens,Mouse,This complex serves as a pattern recognition receptor critical for innate immune responses to bacterial lipopolysaccharide (LPS). LY96 (also known as MD-2) binds directly to LPS and associates with TLR4;  facilitating TLR4 dimerization upon LPS recognition. This dimerization triggers downstream signaling cascades via the MyD88-dependent and TRIF-dependent pathways;  leading to the activation of NF-κB and IRF3 transcription factors;  production of pro-inflammatory cytokines;  type I interferons;  and ultimately the mounting of inflammatory responses against gram-negative bacterial infections.,Lymphocyte antigen 96; Toll-like receptor 4,LY96; TLR4,0.955,Q9Y6Y9; D0EWT9
zero-shot,RAD6-RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,Homo sapiens (Human);  Mus musculus (Mouse);  Caenorhabditis elegans;  Drosophila melanogaster,The RAD6-RAD18 ubiquitin ligase complex functions as the primary E2-E3 enzyme pair responsible for PCNA monoubiquitination at K164 in response to DNA damage. This ubiquitination is a key mediator of DNA damage tolerance through translesion synthesis (TLS);  allowing cells to bypass DNA lesions during replication. The complex recognizes regions of single-stranded DNA exposed at stalled replication forks and catalyzes the transfer of ubiquitin to PCNA;  which then recruits specialized TLS polymerases to bypass the damage. The complex is essential for post-replication repair and maintaining genome stability.,Rad6; Rad18,RAD6 (UBC2); RAD18,0.9475,A6ZUB8; E9P9W8
few-shot,RAD6-RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,Human;  Mouse,This E2-E3 ubiquitin ligase complex is essential for DNA damage tolerance through post-replication repair (PRR). It monoubiquitinates proliferating cell nuclear antigen (PCNA) at lysine 164 in response to DNA damage;  particularly from UV radiation and chemical agents. This modification triggers DNA damage bypass mechanisms including translesion synthesis (TLS) and template switching;  allowing replication to continue past damaged DNA lesions.,Ubiquitin-conjugating enzyme E2 2; E3 ubiquitin-protein ligase RAD18,RAD6 (UBC2); RAD18,0.9775,A0A6C1DR34; B5VEZ7
contextual,RAD6-RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,Human;  Mouse,This complex mediates post-replication repair by initiating DNA damage tolerance through the monoubiquitination of proliferating cell nuclear antigen (PCNA) at lysine 164. The complex is activated in response to stalled replication forks caused by DNA lesions;  enabling cells to bypass DNA damage during replication and preventing replication fork collapse. The RAD6-RAD18 complex is essential for tolerance of UV-induced DNA damage and plays a crucial role in translesion DNA synthesis (TLS) pathway activation.,Ubiquitin-conjugating enzyme E2 2; E3 ubiquitin-protein ligase RAD18,RAD6 (UBC2); RAD18,0.9625,A0A6C1DR34; B5VEZ7
zero-shot,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,None of the other listed organisms (Human;  Mouse;  C. elegans;  Drosophila melanogaster) have a direct orthologous PHO85-PHO80 complex with equivalent function;  though they do possess cyclin-dependent kinases with different roles.,The PHO85-PHO80 CDK-cyclin complex functions as a negative regulator of the phosphate responsive signaling pathway in yeast. When phosphate is abundant;  this complex phosphorylates the transcription factor PHO4;  causing its export from the nucleus and preventing the transcription of phosphate-responsive genes. Under phosphate-limiting conditions;  the complex is inhibited by PHO81;  allowing PHO4 to remain in the nucleus and activate the expression of genes involved in phosphate acquisition and metabolism;  such as acid phosphatases and phosphate transporters.,Pho85; Pho80,PHO85 (YPL031C); PHO80 (YOL001W),0.979,A6ZXF2; P20052
few-shot,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,N/A (The complex with these specific components is unique to yeast),This complex functions as a cyclin-dependent protein kinase that regulates phosphate metabolism in response to phosphate availability. It phosphorylates the transcription factor PHO4 in phosphate-rich conditions;  causing its export from the nucleus and subsequent repression of phosphate-responsive genes. Additionally;  the complex participates in the regulation of glycogen metabolism;  cell cycle progression;  and polarized growth.,Cyclin-dependent protein kinase PHO85; Cyclin PHO80,PHO85; PHO80,0.985,P17157; P20052
