Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
zero-shot,ITGA3-ITGB1 complex,Homo Sapiens,The specific ITGA3 (Integrin alpha-3) and ITGB1 (Integrin beta-1) pairing is also present in mouse;  but not in C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The ITGA3-ITGB1 complex;  also known as the integrin α3β1 complex;  primarily mediates cell-extracellular matrix (ECM) adhesion. In humans;  it is especially important for cellular interactions with laminin in the basement membrane;  contributing to cell migration;  tissue morphogenesis;  wound healing;  and maintenance of epithelial tissue architecture. It plays a crucial role in kidney development;  skin integrity;  and tumor cell migration/metastasis.,Integrin alpha-3 (ITGA3);  Integrin beta-1 (ITGB1),ITGA3;  ITGB1,1,Not Found; Not Found
few-shot,ITGA3-ITGB1 complex,Homo Sapiens,Mouse,Heterodimeric cell surface receptor mediating cell-matrix adhesion;  with a prominent role in laminin binding;  cell migration;  signal transduction;  and regulation of cell morphology and proliferation;  crucial for epithelial integrity;  development;  and organogenesis in human tissues.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,1,Q59F03; Q5T3E6
contextual,ITGA3-ITGB1 complex,Homo Sapiens,Mouse,The ITGA3-ITGB1 complex forms the α3β1 integrin;  a transmembrane adhesion receptor primarily responsible for mediating cell-extracellular matrix adhesion;  especially to laminins and certain collagens. In humans;  it is crucial for epithelial cell adhesion;  migration;  signal transduction;  maintenance of basement membrane integrity;  and tissue morphogenesis. It also regulates interactions in development;  wound healing;  and cancer metastasis.,Integrin alpha-3 (ITGA3);  Integrin beta-1 (ITGB1),ITGA3;  ITGB1,1,Not Found; Not Found
zero-shot,Golgi-associated retrograde protein complex,Homo Sapiens,Mus musculus (Mouse);  Drosophila melanogaster;  Saccharomyces cerevisiae;  and Caenorhabditis elegans,The Golgi-associated retrograde protein (GARP) complex is a multisubunit tethering complex essential for retrograde transport of vesicles from endosomes to the trans-Golgi network. GARP is required for maintaining Golgi integrity and proper sorting of proteins;  especially in vesicle fusion events mediated by SNARE complex assembly.,VPS51 (also known as Ang2);  VPS52;  VPS53;  VPS54,VPS51 (Gene: VPS51);  VPS52 (Gene: VPS52);  VPS53 (Gene: VPS53);  VPS54 (Gene: VPS54),1,Not Found; E9PI03; Q8NCR1; A0A0A0MT48
few-shot,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The Golgi-associated retrograde protein (GARP) complex is essential for tethering and fusion of retrograde transport vesicles from endosomes to the trans-Golgi network;  thereby maintaining Golgi integrity and proper protein sorting.,Vps51p;  Vps52p;  Vps53p;  Vps54p,VPS51;  VPS52;  VPS53;  VPS54,1,C7GNN9; H0GTG6; C7GSQ3; C7GLX0
contextual,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The Golgi-associated retrograde protein (GARP) complex is a tethering factor required for the fusion of endosome-derived transport vesicles with the trans-Golgi network. It functions in retrograde vesicle-mediated protein trafficking and the maintenance of Golgi structure and homeostasis.,Vps51;  Vps52;  Vps53;  Vps54,VPS51;  VPS52;  VPS53;  VPS54,1,Not Found; Not Found; Not Found; Not Found
zero-shot,Transmembrane channel-like (TMC) 2 complex,Homo Sapiens,Mouse (orthologs and functionally similar complex present),Mediates mechanosensory transduction in the inner ear hair cells;  specifically contributing to the development and function of hair cell mechanotransduction channels required for hearing.,TMC2 (core component);  potential association with TMIE;  LHFPL5;  and PCDH15 (as part of the broader mechanotransduction complex;  but TMC2 is the definitive core for human TMC2 complex),TMC2 (primary constituent;  gene symbol TMC2);  TMIE (gene symbol TMIE);  LHFPL5 (gene symbol LHFPL5);  PCDH15 (gene symbol PCDH15) — as auxiliary partners in human mechanotransduction complexes,0.93,Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,Transmembrane channel-like (TMC) 2 complex,Mus Musculus,Human,The TMC2 complex is implicated in mechanotransduction in cochlear hair cells;  contributing to the conversion of mechanical sound stimuli into electrical signals crucial for auditory perception.,Transmembrane channel-like protein 2 (TMC2);  Transmembrane channel-like protein 1 (TMC1*) [Note: TMC2 can form a complex independently or with TMC1;  but TMC2-only complexes are functionally significant;  especially in early development.],Tmc2;  Tmc1,0.91,Not Found; Not Found; Not Found; Not Found
contextual,Transmembrane channel-like (TMC) 2 complex,Mus Musculus,Human (homolog present and implicated in inner ear function;  less characterized in Drosophila melanogaster;  C. elegans;  Saccharomyces cerevisiae),The TMC2 complex is postulated to be a pore-forming component of the mechanoelectrical transduction (MET) channel in inner ear hair cells;  mediating mechanosensory ion flow essential for auditory transduction. In mice;  TMC2 is involved in early-stage MET channel function during cochlear development;  with later functional redundancy with TMC1.,Transmembrane channel-like protein 2 (TMC2),Tmc2,0.97,Not Found
zero-shot,13 subunit eukaryotic initiation factor 3 (eIF3) complex,Homo Sapiens,Mouse (Mus musculus) – homologous 13 subunit structure;  C. elegans – eIF3 is also present as a multi-subunit complex;  but with variable subunit composition. Drosophila melanogaster and Saccharomyces cerevisiae have fewer subunits in their eIF3 complexes and are thus not included as having the full 13 subunit complex.,The eIF3 complex is essential for the initiation phase of eukaryotic translation. It facilitates the recruitment of the 40S ribosomal subunit to messenger RNA;  promotes the assembly of the 43S preinitiation complex;  aids in the scanning process for the start codon;  and prevents premature joining of the 60S subunit. In humans;  eIF3 is also implicated in reinitiation;  programmed mRNA selection;  and regulatory diverse cellular processes.,EIF3A (eIF3 subunit A); EIF3B (eIF3 subunit B); EIF3C (eIF3 subunit C); EIF3D (eIF3 subunit D); EIF3E (eIF3 subunit E); EIF3F (eIF3 subunit F); EIF3G (eIF3 subunit G); EIF3H (eIF3 subunit H); EIF3I (eIF3 subunit I); EIF3J (eIF3 subunit J); EIF3K (eIF3 subunit K); EIF3L (eIF3 subunit L); EIF3M (eIF3 subunit M),EIF3A (GeneID: 8661); EIF3B (GeneID: 8662); EIF3C (GeneID: 8663); EIF3D (GeneID: 8664); EIF3E (GeneID: 3646 / also known as INT6); EIF3F (GeneID: 8881); EIF3G (GeneID: 8666); EIF3H (GeneID: 8667); EIF3I (GeneID: 8668); EIF3J (GeneID: 8669); EIF3K (GeneID: 56902); EIF3L (GeneID: 55845); EIF3M (GeneID: 64935),0.97,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,Eukaryotic initiation factor 3 (eIF3);  13 subunit complex,Homo Sapiens,Mouse,Central initiation factor in translation;  facilitates recruitment of the 40S ribosomal subunit to mRNA;  promotes subsequent assembly of the 43S preinitiation complex;  mediates other interactions required for translation initiation and reinitiation;  and influences the selection of start codons.,eIF3 subunit A;  eIF3 subunit B;  eIF3 subunit C;  eIF3 subunit D;  eIF3 subunit E;  eIF3 subunit F;  eIF3 subunit G;  eIF3 subunit H;  eIF3 subunit I;  eIF3 subunit J;  eIF3 subunit K;  eIF3 subunit L;  eIF3 subunit M,EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M,1,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
contextual,Eukaryotic Initiation Factor 3 (eIF3) 13-subunit complex,Homo Sapiens,Mouse,eIF3 is a multi-subunit complex essential for the initiation of eukaryotic translation. It promotes the assembly of the pre-initiation complex (PIC) by binding the 40S ribosomal subunit;  stabilizes the ternary complex (eIF2-GTP-Met-tRNAi^Met);  aids recruitment of mRNA and other initiation factors;  and facilitates start codon recognition and mRNA scanning.,eIF3 subunit A (eIF3a);  eIF3 subunit B (eIF3b);  eIF3 subunit C (eIF3c);  eIF3 subunit D (eIF3d);  eIF3 subunit E (eIF3e);  eIF3 subunit F (eIF3f);  eIF3 subunit G (eIF3g);  eIF3 subunit H (eIF3h);  eIF3 subunit I (eIF3i);  eIF3 subunit J (eIF3j);  eIF3 subunit K (eIF3k);  eIF3 subunit L (eIF3l);  eIF3 subunit M (eIF3m),EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M,1,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
zero-shot,Tip60 chromatin-remodeling complex,Homo Sapiens,Mouse (Mus musculus);  Drosophila melanogaster;  Saccharomyces cerevisiae,The Tip60 complex functions as a multi-subunit histone acetyltransferase (HAT) involved in acetylation of histones (notably H2A and H4);  DNA damage response;  chromatin remodeling;  transcriptional regulation;  and the control of gene expression;  especially in pathways of DNA repair and apoptosis.,KAT5 (Tip60); EP400; TRRAP; DMAP1; RUVBL1; RUVBL2; ACTL6A (BAF53A); MRGBP; ING3; EPC1; EPC2; BRD8,KAT5 (encodes Tip60/KAT5); EP400 (encodes p400); TRRAP (encodes TRRAP); DMAP1 (encodes DMAP1); RUVBL1 (encodes RUVBL1/Tip49a); RUVBL2 (encodes RUVBL2/Tip49b); ACTL6A (encodes actin-like protein 6A/BAF53A); MRGBP (encodes MRG-binding protein); ING3 (encodes ING3); EPC1 (encodes enhancer of polycomb homolog 1); EPC2 (encodes enhancer of polycomb homolog 2); BRD8 (encodes bromodomain-containing protein 8),0.985,Not Found; Q6ZTU2; Q8N563; Not Found; Not Found; Not Found; Not Found; Not Found; B7ZKQ7; B8XCX8; Not Found; B2R5V7
few-shot,Tip60 chromatin-remodeling complex,Homo Sapiens,Mouse;  Drosophila melanogaster,Histone acetyltransferase (HAT) complex involved in acetylation of histones (notably H4 and H2A);  DNA damage response;  transcriptional regulation;  and chromatin remodeling;  specifically facilitating gene activation;  DNA repair;  and apoptosis.,Tip60/KAT5;  TRRAP;  EPC1;  EPC2;  ING3;  MRGBP;  BRD8;  DMAP1;  RUVBL1;  RUVBL2;  YEATS4 (GAS41);  ACTL6A (BAF53A),KAT5 (also known as TIP60);  TRRAP;  EPC1;  EPC2;  ING3;  MRGBP;  BRD8;  DMAP1;  RUVBL1;  RUVBL2;  YEATS4;  ACTL6A,0.985,Not Found; Q8N563; B8XCX8; Not Found; B7ZKQ7; Not Found; B2R5V7; Not Found; Not Found; Not Found; Not Found; Not Found
contextual,Tip60 chromatin-remodeling complex,Drosophila Melanogaster,Human;  Mouse,A multiprotein histone acetyltransferase (HAT) complex that acetylates histone H4 and H2A;  playing a crucial role in chromatin remodeling;  gene transcription regulation;  DNA damage response;  and double-strand break repair via homologous recombination.,Tip60;  Domino;  E(Pc);  Nipped-A;  Drosophila homolog of Gas41 (dYaf9);  MRG15;  Eaf6;  DMAP1;  Drosophila homolog of ING3 (dING3);  YL-1;  Drosophila homolog of TRRAP (dTRRAP);  Drosophila homolog of BAF53 (dBAF53),Tip60 (CG6121);  domino (dom/CG11969);  Enhancer of Polycomb [E(Pc)/CG8416];  Nipped-A (CG7839);  dYaf9 (CG4747);  MRG15 (CG6363);  Eaf6 (CG4092);  DMAP1 (CG6194);  dING3 (CG3838);  YL-1 (CG17268);  dTRRAP (CG10238);  dBAF53 (CG32028),0.97,A9YI74; Q9NDJ2; Not Found; Not Found; Not Found; Q9Y0I1; Not Found; Not Found; Not Found; Q9VKM6; Not Found; Not Found
zero-shot,COP9 Signalosome (CSN),Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The COP9 Signalosome is a multi-subunit protein complex that regulates the ubiquitin-proteasome pathway by acting as a deneddylase;  removing NEDD8 from cullin-RING ligases (CRLs) and thus controlling ubiquitin-mediated protein degradation. It also participates in DNA damage response;  cell cycle regulation;  and signal transduction.,CSN1 (GPS1); CSN2 (COPS2); CSN3 (COPS3); CSN4 (COPS4); CSN5 (COPS5;  also known as JAB1); CSN6 (COPS6); CSN7A/B (COPS7A or COPS7B;  human complex contains either isoform); CSN8 (COPS8),GPS1; COPS2; COPS3; COPS4; COPS5; COPS6; COPS7A;  COPS7B; COPS8,1,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,COP9 Signalosome (CSN),Homo Sapiens,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae;  C. elegans,Multiprotein complex that acts as a regulator of the ubiquitin-proteasome pathway by controlling cullin-RING ligases (CRLs) via deneddylation;  also involved in DNA damage response;  cell cycle control;  and developmental processes.,COP9 signalosome complex subunit 1 (CSN1);  COP9 signalosome complex subunit 2 (CSN2);  COP9 signalosome complex subunit 3 (CSN3);  COP9 signalosome complex subunit 4 (CSN4);  COP9 signalosome complex subunit 5 (CSN5);  COP9 signalosome complex subunit 6 (CSN6);  COP9 signalosome complex subunit 7A/7B (CSN7A/CSN7B);  COP9 signalosome complex subunit 8 (CSN8),GPS1 (CSN1);  COPS2 (CSN2);  COPS3 (CSN3);  COPS4 (CSN4);  COPS5 (CSN5);  COPS6 (CSN6);  COPS7A or COPS7B (CSN7A/CSN7B);  COPS8 (CSN8),0.991,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
contextual,COP9 Signalosome,Homo Sapiens,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae;  C. elegans,Multi-subunit protein complex that regulates protein degradation by removing the NEDD8 modification from cullin-RING E3 ubiquitin ligases (CRLs);  controlling CRL activity and contributing to diverse cellular processes including signal transduction;  cell cycle regulation;  and DNA repair.,COP9 signalosome complex subunit 1;  COP9 signalosome complex subunit 2;  COP9 signalosome complex subunit 3;  COP9 signalosome complex subunit 4;  COP9 signalosome complex subunit 5;  COP9 signalosome complex subunit 6;  COP9 signalosome complex subunit 7A or 7B;  COP9 signalosome complex subunit 8,GPS1;  COPS2;  COPS3;  COPS4;  COPS5;  COPS6;  COPS7A/COPS7B;  COPS8,1,B4DND6; B4DIH5; B4DN01; D6RFN0; Q92905; E7EM64; Not Found; B2R8N1
zero-shot,20S proteasome,Homo Sapiens,Found in Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The 20S proteasome is the core proteolytic unit of the ubiquitin-proteasome system;  responsible for ATP- and ubiquitin-independent degradation of damaged;  oxidized;  or misfolded proteins;  as well as processing of certain regulatory proteins. It plays a central role in protein homeostasis;  cell cycle regulation;  and removal of abnormal proteins.,The human 20S proteasome is composed of 28 subunits arranged in four stacked rings: two outer rings of seven α (alpha) subunits and two inner rings of seven β (beta) subunits. Subunit composition:,PSMA1;  PSMA2;  PSMA3;  PSMA4;  PSMA5;  PSMA6;  PSMA7; PSMB1;  PSMB2;  PSMB3;  PSMB4;  PSMB5;  PSMB6;  PSMB7,1,Not Found
few-shot,20S proteasome,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The 20S proteasome is the core catalytic unit of the proteasome system;  responsible for ATP-independent degradation of damaged or misfolded proteins;  and for generating peptides for antigen presentation and regulation of numerous cellular processes.,Proteasome subunit alpha type-1;  Proteasome subunit alpha type-2;  Proteasome subunit alpha type-3;  Proteasome subunit alpha type-4;  Proteasome subunit alpha type-5;  Proteasome subunit alpha type-6;  Proteasome subunit alpha type-7;  Proteasome subunit alpha type-8;  Proteasome subunit beta type-1;  Proteasome subunit beta type-2;  Proteasome subunit beta type-3;  Proteasome subunit beta type-4;  Proteasome subunit beta type-5;  Proteasome subunit beta type-6;  Proteasome subunit beta type-7,PSMA1;  PSMA2;  PSMA3;  PSMA4;  PSMA5;  PSMA6;  PSMA7;  PSMA8;  PSMB1;  PSMB2;  PSMB3;  PSMB4;  PSMB5;  PSMB6;  PSMB7,1,V9HW55; P25787; P25788; P25789; P28066; P60900; Q8TAA3; Q8TAA3; P20618; P49721; A0A087WUL2; B4DFL3; A0A140VJS7; P28072; Q99436
contextual,20S proteasome core complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,ATP-independent protease complex responsible for the degradation of ubiquitin-tagged and misfolded proteins;  regulation of the cell cycle;  signaling;  and stress response. Acts as the proteolytic core of the multi-subunit 26S proteasome;  cleaving peptides in a highly regulated fashion.,Proteasome subunit alpha type-1;  Proteasome subunit alpha type-2;  Proteasome subunit alpha type-3;  Proteasome subunit alpha type-4;  Proteasome subunit alpha type-5;  Proteasome subunit alpha type-6;  Proteasome subunit alpha type-7;  Proteasome subunit alpha type-8;  Proteasome subunit beta type-1;  Proteasome subunit beta type-2;  Proteasome subunit beta type-3;  Proteasome subunit beta type-4;  Proteasome subunit beta type-5;  Proteasome subunit beta type-6;  Proteasome subunit beta type-7,PSMA1;  PSMA2;  PSMA3;  PSMA4;  PSMA5;  PSMA6;  PSMA7;  PSMA8;  PSMB1;  PSMB2;  PSMB3;  PSMB4;  PSMB5;  PSMB6;  PSMB7,1,V9HW55; P25787; P25788; P25789; P28066; P60900; Q8TAA3; Q8TAA3; P20618; P49721; A0A087WUL2; B4DFL3; A0A140VJS7; P28072; Q99436
zero-shot,HCN1-HCN4 Channel Complex,Homo Sapiens,Mouse (Mus musculus),"The HCN1-HCN4 complex forms a heteromeric hyperpolarization-activated cyclic nucleotide-gated (HCN) channel that mediates the I<sub>f</sub> (""funny current"") in cardiac pacemaker cells. This channel is critical for regulating the pacemaker activity of the sinoatrial node and modulating heart rate in humans. Co-assembly of HCN1 and HCN4 subunits alters the biophysical properties of the channel;  affecting current kinetics and cyclic nucleotide sensitivity.",HCN1 (Hyperpolarization-activated cyclic nucleotide-gated channel 1);  HCN4 (Hyperpolarization-activated cyclic nucleotide-gated channel 4),HCN1;  HCN4,0.985,Not Found; Not Found
few-shot,HCN1-HCN4 complex,Homo Sapiens,Mouse,Heteromeric ion channel complex mediating hyperpolarization-activated;  cyclic nucleotide-gated currents (Ih or If);  critical for regulating pacemaker activity and electrical rhythmicity in cardiac cells and certain neurons.,Hyperpolarization-activated cyclic nucleotide-gated channel 1 (HCN1);  Hyperpolarization-activated cyclic nucleotide-gated channel 4 (HCN4),HCN1;  HCN4,0.961,Not Found; Not Found
contextual,HCN1-HCN4 complex,Homo Sapiens,Mouse,"The HCN1-HCN4 complex forms a heteromeric hyperpolarization-activated cyclic nucleotide-gated (HCN) channel. In humans;  the complex underlies the ""funny"" current (I_f or I_h) in cardiac pacemaker cells and specific neurons;  contributing to rhythmic electrical activity such as heart rate regulation and neuronal excitability.",Hyperpolarization-activated cyclic nucleotide-gated channel 1 (HCN1);  Hyperpolarization-activated cyclic nucleotide-gated channel 4 (HCN4),HCN1;  HCN4,0.985,Not Found; Not Found
zero-shot,GRIN1-P2RY4 complex,Homo Sapiens,"""""","""""",GRIN1 protein (glutamate receptor;  ionotropic;  NMDA 1); P2RY4 protein (pyrimidinergic receptor P2Y;  G-protein coupled;  4),GRIN1; P2RY4,0.4,Not Found; G3XAD3; Q05586; Not Found; Q5T601; P12838
few-shot,GRIN1-P2RY4 complex,Saccharomyces cerevisiae,"""""","""""","""""","""""",0.685,Not Found
contextual,GRIN1-P2RY4 complex,Homo Sapiens,Mouse (orthologous proteins exist);  but a characterized complex is not reported in C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,"This putative complex would theoretically involve functional interaction between the NMDA receptor subunit GRIN1 (a principal subunit of the NMDA-type glutamate receptor;  mediating excitatory synaptic transmission) and the purinergic receptor P2RY4 (a G protein-coupled receptor responsive primarily to UTP and ATP nucleotides;  involved in calcium signaling and other neuronal/glial responses). However;  there is currently no direct experimental evidence or characterization in the literature or major databases supporting a stable or physiologically relevant ""GRIN1-P2RY4 complex"" as a distinct entity in vivo in human or in other well-studied model organisms. Both proteins are;  however;  co-expressed in certain brain regions and could participate in convergent signaling at the cellular level;  but not as a characterized protein complex.",Glutamate receptor ionotropic;  NMDA 1 (GRIN1);  Purinergic receptor P2Y4 (P2RY4),GRIN1;  P2RY4,0.67,Q9BZ15; Not Found; Not Found
zero-shot,LY96-TLR4 complex,Homo Sapiens,Mouse,The LY96-TLR4 complex plays a crucial role in the innate immune response by recognizing and binding to bacterial lipopolysaccharide (LPS);  a major component of the outer membrane of Gram-negative bacteria. Upon LPS binding;  LY96 (also known as MD-2) associates with TLR4 to form a signaling complex that triggers downstream inflammatory pathways;  especially NF-κB activation;  leading to the production of pro-inflammatory cytokines and the development of a rapid immune defense.,LY96 (also known as MD-2);  Toll-like receptor 4 (TLR4),LY96 (Gene symbol: LY96);  TLR4 (Gene symbol: TLR4),1,Not Found; Not Found
few-shot,LY96-TLR4 complex,Homo Sapiens,Mouse,Mediates recognition of lipopolysaccharide (LPS) from Gram-negative bacteria;  initiating the innate immune response by activating downstream inflammatory signaling pathways;  notably leading to NF-κB activation and cytokine production.,Lymphocyte antigen 96 (MD-2);  Toll-like receptor 4 (TLR4),LY96 (encodes MD-2);  TLR4 (encodes TLR4),1,Not Found; Not Found
contextual,LY96-TLR4 complex,Homo Sapiens,Mouse,Mediates the innate immune response to lipopolysaccharide (LPS) from Gram-negative bacteria. LY96 (MD-2) binds with TLR4 to form a heterodimeric receptor complex;  which is essential for LPS recognition and signal transduction;  leading to activation of downstream immune signaling pathways such as NF-κB.,Lymphocyte antigen 96 (LY96/MD-2);  Toll-like receptor 4 (TLR4),LY96;  TLR4,1,Not Found; Not Found
zero-shot,RAD6-RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The RAD6-RAD18 complex functions as an E2-E3 ubiquitin ligase critical for post-replication DNA repair;  specifically mediating monoubiquitination of proliferating cell nuclear antigen (PCNA). This modification facilitates translesion DNA synthesis;  allowing DNA polymerases to bypass lesions during DNA replication in Saccharomyces cerevisiae.,Rad6p (E2 ubiquitin-conjugating enzyme);  Rad18p (E3 ubiquitin ligase),RAD6 (encodes Rad6p);  RAD18 (encodes Rad18p),1,Not Found; Not Found
few-shot,RAD6–RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,E2–E3 ubiquitin ligase complex that monoubiquitinates PCNA (proliferating cell nuclear antigen) at lysine 164 during DNA damage response;  specifically promoting post-replication repair and translesion DNA synthesis;  thus allowing DNA polymerases to replicate across damaged DNA.,Ubiquitin-conjugating enzyme RAD6;  E3 ubiquitin-protein ligase RAD18,RAD6;  RAD18,0.985,Not Found; B5VEZ7
contextual,RAD6-RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The RAD6-RAD18 complex catalyzes monoubiquitination of proliferating cell nuclear antigen (PCNA) at lysine 164;  a crucial signal for the recruitment of translesion DNA synthesis polymerases during DNA damage tolerance and post-replication repair.,Ubiquitin-conjugating enzyme RAD6;  E3 ubiquitin-protein ligase RAD18,RAD6;  RAD18,1,Not Found; B5VEZ7
zero-shot,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,This specific complex (PHO85-PHO80) is most prominent in S. cerevisiae and does not have a direct orthologous complex with the same composition in Human;  Mouse;  C. elegans;  or Drosophila melanogaster.,The PHO85-PHO80 complex is a cyclin-dependent kinase (CDK)-cyclin regulatory pair that senses and responds to environmental phosphate availability. It acts chiefly as a negative regulator of the PHO pathway in phosphate metabolism. Upon sufficient phosphate;  the PHO85 (CDK) bound to PHO80 (cyclin) phosphorylates the transcription factor Pho4p;  resulting in Pho4p's exclusion from the nucleus and inhibition of phosphate-responsive genes. The complex is also implicated in cell cycle progression and other cellular processes through substrate-specific phosphorylation.,PHO85 (cyclin-dependent kinase);  PHO80 (cyclin),PHO85 (YPL031C);  PHO80 (YOL001W),1,Not Found; Not Found
few-shot,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,,Cyclin-dependent kinase complex that regulates phosphate metabolism in response to inorganic phosphate availability. The complex phosphorylates and inactivates Pho4;  a transcription factor controlling the phosphate starvation response;  and also plays roles in cell cycle;  glycogen metabolism;  and environmental stress responses.,Cyclin-dependent kinase PHO85;  Cyclin PHO80,PHO85;  PHO80,1,Not Found; P20052
contextual,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,N/A (no orthologous complex with same components and regulatory role among Human;  Mouse;  C. elegans;  or Drosophila melanogaster),A cyclin-dependent kinase (CDK)-cyclin complex that functions as a key regulator of phosphate metabolism and cell cycle progression in response to environmental phosphate levels. Inactivates the transcription factor Pho4p via phosphorylation;  suppressing genes involved in phosphate acquisition under high-phosphate conditions.,Cyclin-dependent kinase Pho85p;  Cyclin Pho80p,PHO85;  PHO80,1,Not Found; Not Found
zero-shot,DNA polymerase epsilon (Pol ε) complex,Saccharomyces cerevisiae,Found in Human;  Mouse;  C. elegans;  and Drosophila melanogaster as well.,Essential for leading-strand DNA synthesis during nuclear DNA replication;  also involved in DNA repair and cell cycle checkpoint control.,Pol2 (catalytic subunit);  Dpb2 (second largest subunit);  Dpb3;  Dpb4,POL2 (YNL262W);  DPB2 (YPR175W);  DPB3 (YBR278W);  DPB4 (YDR121W),1,Not Found; Not Found; A6ZPQ7; Not Found
few-shot,DNA polymerase epsilon complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,DNA polymerase epsilon is the primary DNA polymerase responsible for the synthesis of the leading DNA strand during eukaryotic DNA replication and also plays roles in DNA repair and checkpoint control.,DNA polymerase epsilon catalytic subunit A (Pol2);  DNA polymerase epsilon subunit B (Dpb2);  DNA polymerase epsilon subunit C (Dpb3);  DNA polymerase epsilon subunit D (Dpb4),POL2;  DPB2;  DPB3;  DPB4,1,Not Found; Not Found; Not Found; Not Found
contextual,DNA polymerase epsilon (Pol ε) complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,Essential DNA polymerase responsible primarily for leading strand synthesis during eukaryotic nuclear DNA replication. It also plays roles in DNA repair and checkpoint signaling.,DNA polymerase epsilon catalytic subunit (Pol2);  DNA polymerase epsilon subunit B (Dpb2);  DNA polymerase epsilon subunit C (Dpb3);  DNA polymerase epsilon subunit D (Dpb4),POL2;  DPB2;  DPB3;  DPB4,1,Not Found; Not Found; Not Found; Not Found
zero-shot,Golgi Transport Complex (also known as the Conserved Oligomeric Golgi;  or COG complex),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Golgi Transport Complex is involved in mediating intra-Golgi vesicle trafficking;  primarily retrograde transport;  which is crucial for Golgi structure maintenance;  glycosylation enzyme localization;  and protein sorting.,Cog1p;  Cog2p;  Cog3p;  Cog4p;  Cog5p;  Cog6p;  Cog7p;  Cog8p,COG1;  COG2;  COG3;  COG4;  COG5;  COG6;  COG7;  COG8,1,C7GUZ5; Not Found; Not Found; Not Found; Not Found; Not Found; C7GK67; Not Found
few-shot,Golgi Transport Complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The Golgi transport complex (also known as TRAPPI or Transport Protein Particle I) mediates vesicle tethering in ER-to-Golgi and intra-Golgi vesicle trafficking;  functioning as a guanine nucleotide exchange factor (GEF) for Rab1/Ypt1 GTPases;  facilitating vesicle targeting and fusion during secretion.,Bet3p;  Bet5p;  Trs23p;  Trs31p;  Trs20p;  Trs33p;  Trs85p (Note: TRAPP I is the core complex with Bet3p;  and Trs33p;  Trs85p forms TRAPPIII for autophagy-related function.),BET3;  BET5;  TRS23;  TRS31;  TRS20;  TRS33;  TRS85,1,Not Found; Not Found; Not Found; Not Found; C7GMX7; C7GMM1; Not Found; Not Found; Not Found
